№ вагона;Собственник вагона;аренда;куда в ремонт;рамы;КП;Ст. отправления;Дорога отпр;Грузоотправитель (факт);Ст. назначения;Дорога назн;Грузополучатель (факт);Ст. операции;Дорога операции;Груз;Вес;№ накладной;Дата отправки вагона;Дата операции;Дата прибытия;Дата прибытия ПЛАН;срок доставки ЭТРАН
95048369;116м3;#N/A;#N/A;#N/A;норм;ХАВА;ЮВС;"ООО ""Аквилон""";НЕВЕЛЬ 2;ОКТ;"Общество с ограниченной ответственностью ""Великолукский свиноводческий комплекс""";НЕВЕЛЬ 2;ОКТ;ШРОТ, СОДЕРЖАЩИЙ НЕ БОЛЕЕ 1,5% МАСЛА И НЕ БОЛЕЕ 11% ВЛАГИ;68;ЭЙ000707;08.05.2019;21.05.2019;21.05.2019;17.05.2019;25.05.2019
95166245;116м3;#N/A;#N/A;#N/A;норм;УЛЬЯНОВСК-ЦЕНТРАЛЬНЫЙ;КБШ;"ОАО ""Вагонная ремонтная компания -3""";УЛЬЯНОВСК-ЦЕНТРАЛЬНЫЙ;КБШ;"Железнодорожная станция Брянск-Льговский Брянского отделения Московской железной дороги - филиала ОАО ""РЖД""";УЛЬЯНОВСК-ЦЕНТРАЛЬНЫЙ;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ721285;21.05.2019;21.05.2019;21.05.2019;26.05.2019;24.05.2019
95132874;116м3;#N/A;#N/A;БР Китай;норм;БУТУРЛИНОВКА;ЮВС;"ООО ""БАЛТСЕРВИС""";БОГАТОЕ;ЮУР;"Общество с ограниченной ответственностью ""Богатовский маслоэкстракционный завод""";БОГАТОЕ;ЮУР;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ362090;14.05.2019;21.05.2019;21.05.2019;22.05.2019;20.05.2019
95037305;116м3;#N/A;#N/A;БР Китай;норм;КРАСНЫЙ ГУЛЯЙ;КБШ;;ШАМХАЛ;СКВ;;АСТРАХАНЬ 2;ПРВ;ПЕСОК КВАРЦЕВЫЙ, КРОМЕ СТРОИТЕЛЬНОГО;67;ЭЙ415367;14.05.2019;19.05.2019;;;22.05.2019
95110375;116м3;#N/A;#N/A;БР Китай;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";СЕЛИКСА;КБШ;"ОАО ""Пензенский комбинат хлебопродуктов""";ШИПОВКА;КЛГ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;68;27245286;22.05.2019;22.05.2019;;03.06.2019;03.06.2019
95046116;116м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ОТРОЖКА;ЮВС;"ООО ""БАЛТСЕРВИС""";АСБЕСТ;СВР;;БОГДАНОВИЧ;СВР;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ364625;13.05.2019;22.05.2019;;;22.05.2019
95110524;116м3;#N/A;#N/A;БР Китай;норм;САРА;ЮУР;"Общество с ограниченной ответственностью ""ВСВ-Компани""";ЛИПЕЦК;ЮВС;"Филиал ""Липецкхлебмакаронпром "" ""Подгоренский мукомольный завод""";ПЕНЗА 3;КБШ;ПШЕНИЦА;69;ЭЙ609021;18.05.2019;22.05.2019;;;05.06.2019
95047742;116м3;#N/A;#N/A;#N/A;норм;УЛУСАРКА;ЮВС;"ООО ""БАЛТСЕРВИС""";КЕНЗИНО;КБШ;"ООО ""БАЛТСЕРВИС""";КЕНЗИНО;КБШ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭИ902682;05.05.2019;14.05.2019;12.05.2019;;10.05.2019
95042230;116м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АРМАВИР-ТУАПСИНСКИЙ;СКВ;ООО «Компания Благо»;КРАСНОСЕЛКА;ЮУР;;АСТРАХАНЬ 2;ПРВ;ЖМЫХИ, СОДЕРЖАЩИЕ БОЛЕЕ 1,5% МАСЛА И НЕ БОЛЕЕ 11% ВЛАГИ;67;ЭЙ555271;17.05.2019;22.05.2019;;;28.05.2019
95099479;116м3;#N/A;#N/A;БР Китай;ТОНКОМЕР;КАНСК-ЕНИСЕЙСКИЙ;КРС;"ООО ""Колос""";СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";СМОРГОНЬ;БЕЛ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;70;27181023;08.05.2019;21.05.2019;20.05.2019;20.05.2019;03.06.2019
